Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Block Name (block_name),Block Code (block_code),Village Name (village_name),Village Code (village_code),Nutrient Type (nutrient_type),Nutrient Name (nutrient_name),Nutrient Level (nutrient_level),Value (value)
"2024-25","Bihar","10","Banka","190","Bausi","1647","Phaga","242395","Micro","Sulphur","Deficient",0
"2024-25","Rajasthan","8","Pali","111","Sojat","759","Nai Dhani","90615","Macro","Electrical Conductivity","Non Saline",15
"2024-25","Karnataka","29","Bagalkote","524","Bagalkot","5754","Chebbi","598780","Macro","Potassium","Low",0
"2024-25","Andhra Pradesh","28","Tirupati","752","Buchinadidu Khandriga","4752","Kanamanambedu","595929","Micro","Copper","Sufficient",29
"2024-25","Assam","18","Nalbari","298","Tihu","2687","Goboradol","303651","Macro","Nitrogen","Medium",827
"2023-24","Madhya Pradesh","23","Ujjain","435","Tarana","4037","Hajikhedi","471750","Macro","Phosphorus","Medium",0
"2024-25","West Bengal","19","North 24 Parganas","303","Barasat-Ii","2727","Falti-Banpur","323293","Micro","Iron","Sufficient",28
"2023-24","Gujarat","24","Dangs","444","Waghai","7108","Kumarbandh","522776","Micro","Zinc","Deficient",0
"2023-24","Assam","18","Goalpara","287","Kamakhyabari","2572","Ram Hari Char Pt-Iii","282060","Micro","Sulphur","Sufficient",362
"2024-25","Bihar","10","Vaishali","224","Bidupur","2138","Pakauli","235907","Micro","Zinc","Deficient",0
"2024-25","Maharashtra","27","Nanded","485","Biloli","4459","Kotgyal","545058","Macro","Nitrogen","High",0
"2024-25","Jharkhand","20","Koderma","334","Chandwara","3181","Sardarodih","350027","Micro","Iron","Sufficient",19
"2024-25","Rajasthan","8","Jalore","104","Sanchore","705","Bichhawari","89644","Micro","Boron","Deficient",0
"2024-25","Jharkhand","20","Saraikela Kharsawan","341","Gamharia","3247","Naryanpur","379135","Macro","Phosphorus","Medium",0
"2024-25","Gujarat","24","Navsari","453","Navsari","4182","Kurel","522852","Micro","Iron","Sufficient",35
"2023-24","Andhra Pradesh","28","Srikakulam","519","Sarubujjili","5573","Peddasowlapuram","581162","Macro","Phosphorus","High",7
"2023-24","Tripura","16","Gomati","654","Killa","2428","Bagma","272145","Micro","Manganese","Sufficient",87
"2023-24","Andhra Pradesh","28","Ananthapuramu","502","D.Hirehal","4699","Madenahalli","594647","Micro","Manganese","Deficient",0
"2024-25","Bihar","10","Madhepura","205","Kumarkhand","1841","Mangarwara Milik","225955","Macro","Phosphorus","High",28
"2023-24","Maharashtra","27","Amravati","468","Tiwsa","4310","Shendurjana Bk.","532500","Macro","Phosphorus","Low",31
"2024-25","Madhya Pradesh","23","Shivpuri","432","Kolaras","4014","Semari","455869","Micro","Zinc","Sufficient",9
"2023-24","Gujarat","24","Gir Somnath","675","Girgadhda","7158","Motisar","515246","Macro","Potassium","Low",0
"2024-25","Maharashtra","27","Pune","490","Velhe","4524","Ghavar","556654","Macro","Organic Carbon","Medium",0
"2023-24","Tamil Nadu","33","Dharmapuri","571","Harur","6134","Kokkarapatty","643508","Macro","Phosphorus","High",4
"2023-24","Madhya Pradesh","23","Khargone (West Nimar)","414","Maheshwar","3897","Malshakhedi","476939","Micro","Manganese","Sufficient",6
"2024-25","Andhra Pradesh","28","Prakasam","517","Zarugumilli","5509","Narasingolu","591380","Micro","Boron","Deficient",0
"2024-25","Jharkhand","20","Ranchi","339","Angara","3217","Hesal","373676","Macro","Organic Carbon","Medium",6
"2024-25","Uttar Pradesh","9","Amroha","154","Gangeshwari","1255","Ukabli Must. Hall","118474","Micro","Boron","Sufficient",100
"2024-25","Rajasthan","8","Dungarpur","99","Aspur","669","Khaleel","97801","Macro","Soil Ph","Neutral",18
"2024-25","Bihar","10","Saran","218","Sonepur","2077","Chhittu Pakar","234484","Macro","Organic Carbon","High",0
"2023-24","Uttar Pradesh","9","Gorakhpur","148","Gola","1177","Khopapar","187659","Micro","Sulphur","Deficient",1
"2023-24","Rajasthan","8","Sirohi","115","Sirohi","785","Mandawariya","89952","Macro","Soil Ph","Neutral",30
"2024-25","Madhya Pradesh","23","Khargone (West Nimar)","414","Barwah","3891","Khudgaon","476860","Micro","Copper","Sufficient",8
"2023-24","Rajasthan","8","Kotputli-Behror","782","Kotputli","691","Karwas","79015","Macro","Potassium","High",7
"2023-24","Gujarat","24","Tapi","641","Vyara","4246","Rampura Najik","524737","Macro","Potassium","Medium",3
"2024-25","Madhya Pradesh","23","Narmadapuram","409","Bankhedi","3856","Fatehpur Tekripura","488016","Macro","Phosphorus","High",0
"2024-25","Madhya Pradesh","23","Narsimhapur","418","Kareli","3924","Ram Pipariya","491340","Macro","Potassium","Low",4
"2023-24","West Bengal","19","Purba Medinipur","317","Moyna","2960","Chiranjibpur","344903","Micro","Manganese","Deficient",0
"2023-24","Rajasthan","8","Jodhpur","107","Chamu","7459","Khanunagar","945514","Micro","Copper","Deficient",0
"2024-25","Madhya Pradesh","23","Dhar","403","Umarban","3828","Khargone","475718","Macro","Nitrogen","Medium",0
"2024-25","Tamil Nadu","33","Madurai","578","Madurai East","6219","Nattarmangalam","640661","Micro","Boron","Deficient",4
"2024-25","Meghalaya","17","East Khasi Hills","274","Mawpat","7186","Mawpat (Ct)","278356","Macro","Nitrogen","Low",14
"2023-24","Uttar Pradesh","9","Pilibhit","173","Puranpur","1445","Murainia Gandhi Nagar","132367","Macro","Phosphorus","High",4
"2024-25","Jharkhand","20","Sahebganj","340","Sahibganj","3243","Rampur Ogairah","357942","Micro","Boron","Sufficient",1
"2024-25","Tamil Nadu","33","Ariyalur","610","Jayamkondam","6257","Kulothunganallur","636387","Micro","Boron","Deficient",0
"2023-24","West Bengal","19","Dakshin Dinajpur","310","Balurghat","2870","Dakshin Khhanpur","311191","Micro","Manganese","Deficient",0
"2024-25","West Bengal","19","North 24 Parganas","303","Haroa","2737","Bhayda","323655","Macro","Nitrogen","Medium",7
"2024-25","Madhya Pradesh","23","Dhar","403","Nalchha","3824","Billoda","474956","Micro","Copper","Deficient",7
"2024-25","Bihar","10","Muzaffarpur","208","Sahebganj","1891","Naya Tola Urf Telia Chhapra","227999","Micro","Zinc","Deficient",0
"2023-24","Gujarat","24","Arvalli","672","Malpur","4225","Mevda","510903","Micro","Boron","Sufficient",10
"2024-25","Odisha","21","Rayagada","370","Gudari","3549","Malaguda","426853","Micro","Iron","Sufficient",11
"2023-24","Gujarat","24","Chhotaudepur","668","Sankheda","4264","Bor Talav","520876","Micro","Zinc","Sufficient",8
"2024-25","Assam","18","Tinsukia","302","Doomdooma","2719","Ouguri Gaon","290234","Micro","Copper","Sufficient",139
"2024-25","Maharashtra","27","Dhule","474","Shindkhede","4369","Wadade","526098","Micro","Sulphur","Sufficient",104
"2024-25","Rajasthan","8","Churu","96","Ratangarh","656","Meloosar","70582","Macro","Organic Carbon","Low",9
"2024-25","Bihar","10","Saran","218","Chhapra","2061","Nandlal Chhapra","233662","Micro","Manganese","Deficient",0
"2024-25","Odisha","21","Puri","369","Sadar","3545","Talajanga","409797","Macro","Phosphorus","Low",2
"2023-24","Assam","18","Golaghat","288","Golaghat South","2581","Ranipukhuri","295004","Micro","Copper","Deficient",0
"2024-25","Madhya Pradesh","23","Seoni","428","Dhanaura","3989","Kuddo","496420","Macro","Soil Ph","Alkaline",0
"2023-24","West Bengal","19","Paschim Medinipur","318","Keshiary","2989","Hasim Pur","343612","Macro","Electrical Conductivity","Non Saline",2
"2024-25","Andhra Pradesh","28","Sri Sathya Sai","754","Puttaparthi","4731","Amagondapalem","595451","Macro","Potassium","Medium",35
"2024-25","Uttarakhand","5","Pauri Garhwal","52","Duggada","400","Charekha","48419","Macro","Soil Ph","Alkaline",0
"2024-25","Punjab","3","Kapurthala","35","Dhilwan","287","Ratra (79)","29206","Macro","Electrical Conductivity","Saline",0
"2024-25","Rajasthan","8","Beawar","774","Jawaja","568","Surajpura","91834","Macro","Soil Ph","Neutral",4
"2024-25","Bihar","10","Saran","218","Sonepur","2077","Chhapra","234506","Macro","Soil Ph","Neutral",17
"2023-24","Maharashtra","27","Gadchiroli","475","Kurkheda","4380","Gargada","538671","Micro","Iron","Deficient",4
"2023-24","Madhya Pradesh","23","Bhind","395","Bhind","3772","Charthar","452957","Macro","Organic Carbon","High",0
"2024-25","Odisha","21","Sonepur","372","Ullunda","3572","Kutmenda","419179","Macro","Soil Ph","Neutral",0
"2024-25","Bihar","10","Purbi Champaran","213","Ramgarhwa","1990","Amodei","217602","Micro","Copper","Sufficient",30
"2024-25","Odisha","21","Malkangiri","364","Korukonda","3482","Ramakrishnapalli M.V.109","430949","Micro","Copper","Sufficient",11
"2024-25","Assam","18","Hojai","709","Lumding","2669","Shastri Gaon No.2","285459","Macro","Phosphorus","High",3
"2024-25","Rajasthan","8","Jaipur","102","Shahpura","695","Rampura","79254","Micro","Boron","Sufficient",0
"2024-25","Odisha","21","Sundargarh","373","Koida","3579","Kunchpani","384722","Macro","Soil Ph","Acidic",0
"2024-25","Bihar","10","Gaya","196","Wazirganj","1755","Amu Chak","256865","Micro","Iron","Sufficient",8
"2024-25","Punjab","3","Ferozepur","31","Mamdot","249","Mamdot Hithar (341)","34736","Macro","Soil Ph","Neutral",175
"2024-25","Bihar","10","Kaimur (Bhabua)","200","Ramgarh","1796","Sumerpur Chotka","248944","Micro","Copper","Deficient",0
"2023-24","West Bengal","19","Murshidabad","319","Suti-I","3025","Chakbahadurpur","313925","Macro","Soil Ph","Alkaline",0
"2023-24","Tripura","16","Gomati","654","Karbook","2427","Patichhari","272359","Macro","Potassium","Medium",26
"2024-25","Madhya Pradesh","23","Sagar","425","Khurai","3968","Dhikuwa","459804","Macro","Organic Carbon","High",32
"2023-24","Rajasthan","8","Jhunjhunu","106","Nawalgarh","718","Ghisa Ki Dhani","71600","Macro","Electrical Conductivity","Non Saline",39
"2024-25","Bihar","10","Vaishali","224","Chehrakala","2139","Rasulpur Fateh","235067","Macro","Soil Ph","Alkaline",2
"2024-25","Maharashtra","27","Hingoli","477","Kalamnuri","4394","Puyana","546167","Macro","Electrical Conductivity","Saline",0
"2023-24","Karnataka","29","Bengaluru Urban","525","Anekal","5759","Bhaktipura","613283","Macro","Potassium","High",0
"2024-25","Maharashtra","27","Gadchiroli","475","Dhanora","4376","Katezari","539013","Micro","Manganese","Deficient",0
"2024-25","Arunachal Pradesh","12","Upper Subansiri","241","Taliha","2285","Bimpak","262963","Macro","Nitrogen","Low",0
"2024-25","Tamil Nadu","33","Krishnagiri","577","Kelamangalam","6208","Bairamangalam","644013","Macro","Phosphorus","High",0
"2023-24","Bihar","10","Samastipur","217","Rosera","2050","Rasulpur Dharaha","237187","Micro","Iron","Deficient",0
"2024-25","Rajasthan","8","Jaipur","102","Shahpura","695","Manoharpur (Ct)","79345","Macro","Phosphorus","Medium",7
"2024-25","Uttar Pradesh","9","Jhansi","153","Babina","1244","Palida","152755","Micro","Boron","Sufficient",91
"2024-25","Andhra Pradesh","28","Parvathipuram Manyam","743","Jiyyammavalasa","5638","Batlabhadra","582040","Macro","Nitrogen","High",0
"2023-24","Madhya Pradesh","23","Sidhi","433","Sidhi","4024","Lahiya","502501","Macro","Nitrogen","Low",1
"2024-25","Arunachal Pradesh","12","Kurung Kumey","233","Koloriang","2195","Furek","265495","Micro","Zinc","Deficient",0
"2023-24","Andhra Pradesh","28","Eluru","748","Mudinepalle","5126","Devapudi","589433","Micro","Zinc","Sufficient",27
"2023-24","Andhra Pradesh","28","Palnadu","751","Dachepalle","4933","Gamalapadu","589852","Macro","Electrical Conductivity","Non Saline",30
"2024-25","Bihar","10","Saran","218","Dariapur","2062","Rahimapur","234149","Micro","Manganese","Sufficient",17
"2023-24","Madhya Pradesh","23","Sheopur","431","Karahal","4008","Bagbaj","451665","Macro","Nitrogen","Low",8
"2023-24","Madhya Pradesh","23","Ashoknagar","391","Isagarh","3742","Pach Bawadi","499999","Micro","Zinc","Deficient",7
"2024-25","Madhya Pradesh","23","Sehore","427","Sehore","3986","Sonthi","482781","Micro","Sulphur","Sufficient",6
"2023-24","West Bengal","19","Purba Medinipur","317","Nandakumar","2961","Ichhapur","344703","Macro","Potassium","High",0
"2023-24","Gujarat","24","Valsad","462","Vapi","7123","Chala","930311","Macro","Organic Carbon","Low",0
"2023-24","Rajasthan","8","Khairthal-Tijara","770","Mandawar","580","Rajwara","72000","Micro","Manganese","Sufficient",15
"2023-24","Gujarat","24","Mahesana","451","Visnagar","4174","Gothva","509317","Macro","Nitrogen","High",0
"2023-24","Uttar Pradesh","9","Ballia","126","Beruarbari","911","Karmmar Taluka Majhos","199505","Macro","Soil Ph","Alkaline",0
"2023-24","Andhra Pradesh","28","Ntr","749","G.Konduru","5107","Bhimavarappadu","589139","Macro","Organic Carbon","Medium",0
"2024-25","Odisha","21","Balangir","345","Puintala","3294","Brahmanipali","420160","Macro","Nitrogen","High",0
"2024-25","Rajasthan","8","Beawar","774","Bhim","762","Peepli Ka Wadiya","96408","Macro","Soil Ph","Neutral",36
"2024-25","Assam","18","Dhubri","285","Bilasipara","2550","Udmari Pt.Ii","281320","Micro","Iron","Deficient",0
"2024-25","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","6126","Thambipalayam","636703","Macro","Organic Carbon","Medium",0
"2023-24","Andhra Pradesh","28","Chittoor","503","Puthalapattu","4788","Puthalapattu","596474","Macro","Electrical Conductivity","Non Saline",18
"2023-24","Gujarat","24","Dahod","445","Devgad Bariya","4112","Nani Zari","519529","Micro","Zinc","Deficient",5
"2023-24","Madhya Pradesh","23","Damoh","400","Patera","3804","Majholi","461957","Micro","Boron","Deficient",0
"2024-25","Jharkhand","20","Latehar","335","Mahuadanr","3191","Bisrampur","367092","Macro","Organic Carbon","Medium",16
"2023-24","West Bengal","19","Hooghly","312","Khanakul-I","2897","Gauran Mandaran","325836","Micro","Sulphur","Deficient",1
"2024-25","Bihar","10","Nawada","210","Akbarpur","1914","Fatehpur","257985","Macro","Electrical Conductivity","Non Saline",7
"2024-25","Gujarat","24","Kheda","450","Mehmedabad","4162","Moti Adboli","517432","Micro","Iron","Deficient",3
"2024-25","Jharkhand","20","East Singhbum","327","Boram","6632","Chhota Susni","363368","Macro","Nitrogen","Medium",0
"2024-25","Tamil Nadu","33","Ariyalur","610","Thirumanur","6261","Thirumanur","636512","Macro","Nitrogen","High",0
"2024-25","West Bengal","19","Purulia","321","Arsha","3044","Rugri","331178","Micro","Manganese","Deficient",2
"2024-25","Rajasthan","8","Didwana-Kuchaman","768","Didwana","741","Khunkhuna","82537","Macro","Electrical Conductivity","Non Saline",10
"2024-25","Andhra Pradesh","28","Alluri Sitharama Raju","745","G.Madugula","5593","Balijipeta","584931","Micro","Manganese","Deficient",0
"2024-25","Karnataka","29","Chikkamagaluru","532","Mudigere","5805","Javali","609922","Macro","Phosphorus","Medium",6
"2024-25","Madhya Pradesh","23","Chhindwara","399","Chhindwara","3792","Marai","494966","Micro","Iron","Sufficient",1
"2024-25","Gujarat","24","Bharuch","442","Jambusar","4095","Amanpor Nana","521882","Micro","Iron","Deficient",23
"2024-25","Gujarat","24","Mahisagar","669","Santrampur","4193","Bhana Simal","518002","Macro","Phosphorus","Medium",16
"2024-25","Madhya Pradesh","23","Chhindwara","399","Amarwara","3789","Jhirpani","493888","Micro","Iron","Deficient",56
"2024-25","West Bengal","19","Darjeeling","309","Naxal Bari","2867","Shaibhita","306659","Macro","Phosphorus","High",0
"2023-24","Madhya Pradesh","23","Balaghat","392","Balaghat","3745","Suriya","497711","Micro","Manganese","Deficient",0
"2024-25","Maharashtra","27","Pune","490","Daund","4514","Pandharewadi","556397","Micro","Iron","Deficient",10
"2023-24","Gujarat","24","Bharuch","442","Hansot","4094","Dantrai","522403","Macro","Organic Carbon","High",3
"2023-24","Gujarat","24","Gir Somnath","675","Talala","4142","Rasulpura","514948","Macro","Phosphorus","Low",0
"2024-25","Maharashtra","27","Ratnagiri","492","Khed","4543","Hodkhad","565106","Micro","Zinc","Deficient",0
"2024-25","Rajasthan","8","Bhilwara","92","Sahara","628","Ummedpura (Khalsa)","95498","Micro","Boron","Deficient",0
"2024-25","Madhya Pradesh","23","Satna","426","Majhgawan","3976","Gahira","463248","Macro","Electrical Conductivity","Non Saline",11
"2024-25","Arunachal Pradesh","12","Tawang","238","Tawang","2251","Gomkang","261481","Macro","Potassium","High",0
"2023-24","Madhya Pradesh","23","Singrauli","638","Chitrangi","4019","Dharauha (Dhaurhawa)","503631","Macro","Organic Carbon","Low",0
"2023-24","Gujarat","24","Botad","676","Gadhada","4101","Khijadiya","516175","Macro","Nitrogen","Low",5
"2024-25","Maharashtra","27","Jalgaon","478","Bhadgaon","4397","Kanashi","527711","Micro","Iron","Sufficient",48
"2024-25","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Sydapuram","5408","Pokkandala","592248","Micro","Zinc","Deficient",3
"2023-24","Maharashtra","27","Chandrapur","473","Bhadrawati","4353","Kuchana","541113","Micro","Manganese","Sufficient",16
"2023-24","Andhra Pradesh","28","Nandyal","755","Sirivel","5196","Jeenepalle","594338","Macro","Potassium","High",13
"2024-25","Maharashtra","27","Jalna","479","Ambad","4411","Hast Pokhari","547803","Macro","Nitrogen","Medium",4
"2023-24","West Bengal","19","Purba Medinipur","317","Moyna","2960","Gobradan","344894","Micro","Manganese","Deficient",0
"2023-24","Rajasthan","8","Jhalawar","105","Jhalrapatan","709","Kuwabhao @ Bhopatpura","104094","Macro","Soil Ph","Alkaline",0
"2023-24","West Bengal","19","Jalpaiguri","314","Maynaguri","2929","Banglajhar","307546","Macro","Phosphorus","High",0
"2023-24","Madhya Pradesh","23","Neemuch","419","Jawad","3927","Meghpura Chauhan","468421","Micro","Copper","Deficient",0
"2023-24","West Bengal","19","Purulia","321","Jhalda-Ii","3052","Ukma","331422","Micro","Sulphur","Deficient",4
"2024-25","Bihar","10","Purbi Champaran","213","Raxaul","1991","Parsauna Tapsi","217513","Macro","Potassium","Low",0
"2024-25","Odisha","21","Nabarangpur","366","Jharigam","3515","Bakadabeda","427412","Micro","Sulphur","Deficient",4
"2024-25","Odisha","21","Puri","369","Kanas","3541","Guadia","410132","Macro","Soil Ph","Neutral",1
"2024-25","Karnataka","29","Vijayanagara","738","Hadagalli","5782","Hiremallinakeri","604629","Macro","Organic Carbon","Medium",17
"2024-25","Tamil Nadu","33","Kallakurichi","729","Tirukkoyilur","6469","Kattupaiyur","633175","Micro","Copper","Deficient",0
"2023-24","West Bengal","19","Bankura","305","Jaypur","2782","Adhakata","328074","Macro","Potassium","Medium",14
"2024-25","Uttar Pradesh","9","Muzaffarnagar","172","Charthawal","1427","Balwakheri","110772","Macro","Electrical Conductivity","Non Saline",100
"2024-25","Bihar","10","Jamui","198","Jamui","1774","Indpe","258680","Macro","Soil Ph","Neutral",7
"2024-25","Himachal Pradesh","2","Kullu","20","Banjar","169","Kalwari (4/12)","12913","Macro","Organic Carbon","Low",24
"2024-25","Karnataka","29","Mysuru","545","Hunsur","5887","Hullenahalli","618464","Micro","Copper","Deficient",0
"2024-25","Odisha","21","Sambalpur","371","Kuchinda","3562","Kusumi","381450","Macro","Nitrogen","Medium",0
"2024-25","Karnataka","29","Bagalkote","524","Ilkal","7369","Chamalapur","598983","Macro","Phosphorus","Low",10
"2024-25","Gujarat","24","Banas Kantha","441","Amirgadh","4079","Kengora","507812","Micro","Iron","Sufficient",23
"2024-25","Odisha","21","Puri","369","Brahmagiri","3537","Girola","409887","Micro","Sulphur","Deficient",1
"2024-25","Rajasthan","8","Bikaner","93","Panchoo","7063","Khara","69666","Micro","Boron","Sufficient",0
"2024-25","Madhya Pradesh","23","Rajgarh","422","Narsinghgarh","3944","Salaya","480180","Macro","Nitrogen","Medium",1
"2024-25","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Nellore Rural","5400","Upputur","592083","Macro","Electrical Conductivity","Non Saline",16
"2024-25","Karnataka","29","Davanagere","535","Channagiri","5820","Hiremalali","607038","Micro","Iron","Sufficient",21
"2024-25","Andhra Pradesh","28","Tirupati","752","Tirupati (Rural)","4804","Mallavaram","595714","Macro","Nitrogen","Medium",6
"2023-24","Madhya Pradesh","23","Narsimhapur","418","Chawarpatha","3922","Ghaghrola Kalan","490712","Macro","Organic Carbon","High",3
"2024-25","Karnataka","29","Ballari","528","Siruguppa","5787","Talur","604853","Macro","Electrical Conductivity","Saline",0
"2024-25","Bihar","10","Kishanganj","203","Pothia","1825","Koltha","222606","Macro","Organic Carbon","High",0
"2024-25","Gujarat","24","Surat","459","Mandvi","4236","Amalsadi","524041","Micro","Boron","Deficient",42
"2024-25","West Bengal","19","Hooghly","312","Khanakul-Ii","2898","Ganeshpur","325941","Macro","Organic Carbon","High",7
"2024-25","Maharashtra","27","Chhatrapati Sambhajinagar","469","Chhatrapati Sambhajinagar","4312","Mangrul","548845","Macro","Soil Ph","Acidic",0
"2024-25","Bihar","10","Bhagalpur","192","Sultanganj","1688","Sirampur","239584","Micro","Copper","Deficient",0
"2023-24","Gujarat","24","Vadodara","461","Waghodia","4268","Gutal","519956","Macro","Potassium","Low",0
"2023-24","Bihar","10","Begusarai","191","Bhagwanpur","1660","Malhipur","237608","Macro","Soil Ph","Neutral",196
"2023-24","Rajasthan","8","Bharatpur","91","Rupbas","617","Kakraua","75283","Micro","Zinc","Sufficient",0
"2023-24","Madhya Pradesh","23","Ratlam","423","Sailana","3953","Kariya","470452","Micro","Iron","Sufficient",146
"2024-25","Rajasthan","8","Beawar","774","Jawaja","568","Ramkhera Dhanar","91771","Macro","Phosphorus","Low",0
"2024-25","Odisha","21","Deogarh","351","Barkote","3346","Kanchhada","382649","Micro","Sulphur","Sufficient",1
"2024-25","Gujarat","24","Arvalli","672","Malpur","4225","Surana Pahadiya","510947","Micro","Copper","Sufficient",36
"2024-25","Maharashtra","27","Washim","499","Mangrulpir","4614","Lakhamapur","530745","Macro","Nitrogen","High",0
"2024-25","Madhya Pradesh","23","Katni","413","Rithi","3889","Dharampura","488278","Macro","Organic Carbon","High",0
"2024-25","Karnataka","29","Uttara Kannada","550","Mundgod","5924","Hudelkoppa","603062","Macro","Phosphorus","High",23
"2024-25","West Bengal","19","Paschim Medinipur","318","Mohanpur","2994","Kukuria","344028","Micro","Copper","Sufficient",2
"2024-25","Bihar","10","Madhubani","206","Madhwapur","1865","Bishunpur","219850","Micro","Boron","Deficient",31
"2023-24","Jharkhand","20","Dumka","326","Masaliya","3103","Dhawadangal","371935","Macro","Phosphorus","Medium",136
"2024-25","Maharashtra","27","Nashik","487","Trimbak","4492","Nandurkipada","550869","Micro","Zinc","Sufficient",0
"2024-25","West Bengal","19","Cooch Behar","308","Dinhata-I","2848","Bara Atiabari Pratham Khanda (P)","308538","Macro","Potassium","Low",21
"2023-24","Madhya Pradesh","23","Chhindwara","399","Jamai","3794","Patniya","494631","Micro","Iron","Deficient",4
"2024-25","Mizoram","15","Kolasib","263","Bilkhawthlir","6521","Saipum-I","271160","Macro","Potassium","Low",0
"2024-25","Karnataka","29","Bengaluru Rural","526","Dodballapur","5765","Karim Sonnenahalli","625214","Micro","Iron","Sufficient",7
"2023-24","Rajasthan","8","Pratapgarh","629","Dhamotar","7467","Nakor","108486","Macro","Organic Carbon","Low",5
"2024-25","Rajasthan","8","Baran","89","Shahbad","602","Danta","103355","Macro","Electrical Conductivity","Saline",0
"2023-24","Gujarat","24","Surendranagar","460","Wadhwan","4256","Rampara","512240","Micro","Copper","Sufficient",3
"2024-25","Tamil Nadu","33","Virudhunagar","597","Sattur","6479","Peddureddipatti","641738","Macro","Soil Ph","Acidic",0
"2024-25","Uttar Pradesh","9","Budaun","133","Usawan","1015","Sathra","129082","Macro","Potassium","Low",2
"2024-25","Maharashtra","27","Jalgaon","478","Parola","4408","Shevage Bk.","527566","Macro","Phosphorus","Low",0
